Data extracted on 02/04/2021 16:43:43 from [ESTAT];;;;;;;;;
Dataset: ;Social media use by purpose [ISOC_CISMP__custom_767933];;;;;;;;
Last updated: ;11/03/2021 11:00;;;;;;;;
;;;;;;;;;
Time frequency;;Annual;;;;;;;
Unit of measure;;Percentage of enterprises;;;;;;;
Enterprise size and Nace Rev. 2;;All enterprises, without financial sector (10 persons employed or more);;;;;;;
;;;;;;;;;
TIME;TIME;2013;;2015;;2017;;2019;
GEO (Labels);INDIC_IS (Labels);;;;;;;;
European Union - 27 countries (from 2020);Website has online ordering, reservation or booking and at least one of: webacc, webctm, webot or webper and use social media for more than one purpose;5;;:;;:;;:;
European Union - 27 countries (from 2020);Develop the enterprise's image or market products;21;;29;;38;;43;
European Union - 27 countries (from 2020);Obtain or respond to customer opinions, reviews questions;14;;19;;25;;28;
European Union - 27 countries (from 2020);Involve customers in development or innovation of goods or services;8;;10;;12;;14;
European Union - 27 countries (from 2020);Collaborate with business partners (e.g. suppliers, etc.) or other organisations (e.g. public authorities, non governmental organisations, etc.);8;;9;;12;;13;
European Union - 27 countries (from 2020);Recruit employees;9;;13;;21;;27;
European Union - 27 countries (from 2020);Exchange views, opinions or knowledge within the enterprise;8;;9;;12;;14;
European Union - 27 countries (from 2020);Use social media for any purpose (of sm_advert, sm_pcuqor, sm_pcudev, sm_pbpcoll, sm_prcr, sm_pexchvok);25;;33;;43;;48;
European Union - 27 countries (from 2020);Use only one type of social medium for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;7;;:;;:;;:;
European Union - 27 countries (from 2020);Use two or more social media for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;3;;:;;:;;:;
European Union - 27 countries (from 2020);Use only one type of social medium for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;6;;:;;:;;:;
European Union - 27 countries (from 2020);Use two or more social media for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;9;;:;;:;;:;
European Union - 28 countries (2013-2020);Website has online ordering, reservation or booking and at least one of: webacc, webctm, webot or webper and use social media for more than one purpose;6;;:;;:;;:;
European Union - 28 countries (2013-2020);Develop the enterprise's image or market products;22;;31;;40;;45;
European Union - 28 countries (2013-2020);Obtain or respond to customer opinions, reviews questions;15;;20;;27;;29;
European Union - 28 countries (2013-2020);Involve customers in development or innovation of goods or services;9;;10;;12;;14;
European Union - 28 countries (2013-2020);Collaborate with business partners (e.g. suppliers, etc.) or other organisations (e.g. public authorities, non governmental organisations, etc.);9;;10;;12;;14;
European Union - 28 countries (2013-2020);Recruit employees;9;;15;;23;;28;
European Union - 28 countries (2013-2020);Exchange views, opinions or knowledge within the enterprise;9;;10;;13;;14;
European Union - 28 countries (2013-2020);Use social media for any purpose (of sm_advert, sm_pcuqor, sm_pcudev, sm_pbpcoll, sm_prcr, sm_pexchvok);27;;35;;45;;51;
European Union - 28 countries (2013-2020);Use only one type of social medium for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;7;;:;;:;;:;
European Union - 28 countries (2013-2020);Use two or more social media for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;4;;:;;:;;:;
European Union - 28 countries (2013-2020);Use only one type of social medium for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;6;;:;;:;;:;
European Union - 28 countries (2013-2020);Use two or more social media for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;10;;:;;:;;:;
European Union - 27 countries (2007-2013);Website has online ordering, reservation or booking and at least one of: webacc, webctm, webot or webper and use social media for more than one purpose;6;;:;;:;;:;
European Union - 27 countries (2007-2013);Develop the enterprise's image or market products;22;;31;;40;;:;
European Union - 27 countries (2007-2013);Obtain or respond to customer opinions, reviews questions;15;;20;;27;;:;
European Union - 27 countries (2007-2013);Involve customers in development or innovation of goods or services;9;;10;;12;;:;
European Union - 27 countries (2007-2013);Collaborate with business partners (e.g. suppliers, etc.) or other organisations (e.g. public authorities, non governmental organisations, etc.);9;;10;;12;;:;
European Union - 27 countries (2007-2013);Recruit employees;9;;15;;23;;:;
European Union - 27 countries (2007-2013);Exchange views, opinions or knowledge within the enterprise;9;;10;;13;;:;
European Union - 27 countries (2007-2013);Use social media for any purpose (of sm_advert, sm_pcuqor, sm_pcudev, sm_pbpcoll, sm_prcr, sm_pexchvok);27;;35;;45;;:;
European Union - 27 countries (2007-2013);Use only one type of social medium for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;7;;:;;:;;:;
European Union - 27 countries (2007-2013);Use two or more social media for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;4;;:;;:;;:;
European Union - 27 countries (2007-2013);Use only one type of social medium for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;6;;:;;:;;:;
European Union - 27 countries (2007-2013);Use two or more social media for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;10;;:;;:;;:;
European Union - 15 countries (1995-2004);Website has online ordering, reservation or booking and at least one of: webacc, webctm, webot or webper and use social media for more than one purpose;6;;:;;:;;:;
European Union - 15 countries (1995-2004);Develop the enterprise's image or market products;24;;33;;42;;:;
European Union - 15 countries (1995-2004);Obtain or respond to customer opinions, reviews questions;16;;22;;28;;:;
European Union - 15 countries (1995-2004);Involve customers in development or innovation of goods or services;9;;11;;13;;:;
European Union - 15 countries (1995-2004);Collaborate with business partners (e.g. suppliers, etc.) or other organisations (e.g. public authorities, non governmental organisations, etc.);9;;9;;12;;:;
European Union - 15 countries (1995-2004);Recruit employees;10;;16;;25;;:;
European Union - 15 countries (1995-2004);Exchange views, opinions or knowledge within the enterprise;10;;11;;14;;:;
European Union - 15 countries (1995-2004);Use social media for any purpose (of sm_advert, sm_pcuqor, sm_pcudev, sm_pbpcoll, sm_prcr, sm_pexchvok);29;;37;;47;;:;
European Union - 15 countries (1995-2004);Use only one type of social medium for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;7;;:;;:;;:;
European Union - 15 countries (1995-2004);Use two or more social media for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;4;;:;;:;;:;
European Union - 15 countries (1995-2004);Use only one type of social medium for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;6;;:;;:;;:;
European Union - 15 countries (1995-2004);Use two or more social media for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;11;;:;;:;;:;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015);Website has online ordering, reservation or booking and at least one of: webacc, webctm, webot or webper and use social media for more than one purpose;5;;:;;:;;:;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015);Develop the enterprise's image or market products;22;;30;;40;;44;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015);Obtain or respond to customer opinions, reviews questions;15;;19;;26;;29;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015);Involve customers in development or innovation of goods or services;9;;11;;13;;15;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015);Collaborate with business partners (e.g. suppliers, etc.) or other organisations (e.g. public authorities, non governmental organisations, etc.);8;;9;;12;;13;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015);Recruit employees;9;;14;;22;;29;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015);Exchange views, opinions or knowledge within the enterprise;8;;10;;12;;14;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015);Use social media for any purpose (of sm_advert, sm_pcuqor, sm_pcudev, sm_pbpcoll, sm_prcr, sm_pexchvok);26;;34;;45;;50;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015);Use only one type of social medium for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;7;;:;;:;;:;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015);Use two or more social media for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;4;;:;;:;;:;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015);Use only one type of social medium for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;6;;:;;:;;:;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015);Use two or more social media for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;9;;:;;:;;:;
Belgium;Website has online ordering, reservation or booking and at least one of: webacc, webctm, webot or webper and use social media for more than one purpose;6;;:;;:;;:;
Belgium;Develop the enterprise's image or market products;23;;38;;49;;61;
Belgium;Obtain or respond to customer opinions, reviews questions;12;;19;;25;;30;
Belgium;Involve customers in development or innovation of goods or services;8;;11;;12;;14;
Belgium;Collaborate with business partners (e.g. suppliers, etc.) or other organisations (e.g. public authorities, non governmental organisations, etc.);9;;8;;11;;14;
Belgium;Recruit employees;17;;20;;35;;49;
Belgium;Exchange views, opinions or knowledge within the enterprise;9;;13;;17;;18;
Belgium;Use social media for any purpose (of sm_advert, sm_pcuqor, sm_pcudev, sm_pbpcoll, sm_prcr, sm_pexchvok);31;;41;;54;;68;
Belgium;Use only one type of social medium for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;7;;:;;:;;:;
Belgium;Use two or more social media for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;4;;:;;:;;:;
Belgium;Use only one type of social medium for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;7;;:;;:;;:;
Belgium;Use two or more social media for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;12;;:;;:;;:;
Bulgaria;Website has online ordering, reservation or booking and at least one of: webacc, webctm, webot or webper and use social media for more than one purpose;4;;:;;:;;:;
Bulgaria;Develop the enterprise's image or market products;16;;21;;25;;25;
Bulgaria;Obtain or respond to customer opinions, reviews questions;13;;17;;21;;21;
Bulgaria;Involve customers in development or innovation of goods or services;6;;5;;6;;5;
Bulgaria;Collaborate with business partners (e.g. suppliers, etc.) or other organisations (e.g. public authorities, non governmental organisations, etc.);12;;12;;13;;10;
Bulgaria;Recruit employees;9;;9;;12;;11;
Bulgaria;Exchange views, opinions or knowledge within the enterprise;10;;10;;12;;10;
Bulgaria;Use social media for any purpose (of sm_advert, sm_pcuqor, sm_pcudev, sm_pbpcoll, sm_prcr, sm_pexchvok);24;;26;;30;;29;
Bulgaria;Use only one type of social medium for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;7;;:;;:;;:;
Bulgaria;Use two or more social media for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;2;;:;;:;;:;
Bulgaria;Use only one type of social medium for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;8;;:;;:;;:;
Bulgaria;Use two or more social media for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;7;;:;;:;;:;
Czechia;Website has online ordering, reservation or booking and at least one of: webacc, webctm, webot or webper and use social media for more than one purpose;8;;:;;:;;:;
Czechia;Develop the enterprise's image or market products;14;;22;;31;;41;
Czechia;Obtain or respond to customer opinions, reviews questions;12;;17;;21;;26;
Czechia;Involve customers in development or innovation of goods or services;5;;7;;8;;10;
Czechia;Collaborate with business partners (e.g. suppliers, etc.) or other organisations (e.g. public authorities, non governmental organisations, etc.);5;;8;;10;;13;
Czechia;Recruit employees;4;;10;;20;;29;
Czechia;Exchange views, opinions or knowledge within the enterprise;4;;5;;7;;10;
Czechia;Use social media for any purpose (of sm_advert, sm_pcuqor, sm_pcudev, sm_pbpcoll, sm_prcr, sm_pexchvok);15;;24;;35;;45;
Czechia;Use only one type of social medium for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;5;;:;;:;;:;
Czechia;Use two or more social media for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;1;;:;;:;;:;
Czechia;Use only one type of social medium for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;4;;:;;:;;:;
Czechia;Use two or more social media for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;5;;:;;:;;:;
Denmark;Website has online ordering, reservation or booking and at least one of: webacc, webctm, webot or webper and use social media for more than one purpose;9;;:;;:;;:;
Denmark;Develop the enterprise's image or market products;30;;46;;57;;64;
Denmark;Obtain or respond to customer opinions, reviews questions;15;;20;;27;;28;
Denmark;Involve customers in development or innovation of goods or services;7;;8;;9;;10;
Denmark;Collaborate with business partners (e.g. suppliers, etc.) or other organisations (e.g. public authorities, non governmental organisations, etc.);12;;13;;15;;18;
Denmark;Recruit employees;18;;30;;44;;54;
Denmark;Exchange views, opinions or knowledge within the enterprise;13;;16;;22;;25;
Denmark;Use social media for any purpose (of sm_advert, sm_pcuqor, sm_pcudev, sm_pbpcoll, sm_prcr, sm_pexchvok);35;;51;;62;;71;
Denmark;Use only one type of social medium for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;9;;:;;:;;:;
Denmark;Use two or more social media for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;3;;:;;:;;:;
Denmark;Use only one type of social medium for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;11;;:;;:;;:;
Denmark;Use two or more social media for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;12;;:;;:;;:;
Germany (until 1990 former territory of the FRG);Website has online ordering, reservation or booking and at least one of: webacc, webctm, webot or webper and use social media for more than one purpose;4;;:;;:;;:;
Germany (until 1990 former territory of the FRG);Develop the enterprise's image or market products;:;u;26;;36;;41;
Germany (until 1990 former territory of the FRG);Obtain or respond to customer opinions, reviews questions;:;u;16;;24;;27;
Germany (until 1990 former territory of the FRG);Involve customers in development or innovation of goods or services;:;u;7;;10;;14;
Germany (until 1990 former territory of the FRG);Collaborate with business partners (e.g. suppliers, etc.) or other organisations (e.g. public authorities, non governmental organisations, etc.);:;u;7;;10;;13;
Germany (until 1990 former territory of the FRG);Recruit employees;:;u;:;u;27;;33;
Germany (until 1990 former territory of the FRG);Exchange views, opinions or knowledge within the enterprise;:;u;9;;10;;12;
Germany (until 1990 former territory of the FRG);Use social media for any purpose (of sm_advert, sm_pcuqor, sm_pcudev, sm_pbpcoll, sm_prcr, sm_pexchvok);27;;:;u;42;;46;
Germany (until 1990 former territory of the FRG);Use only one type of social medium for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;7;;:;;:;;:;
Germany (until 1990 former territory of the FRG);Use two or more social media for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;5;;:;;:;;:;
Germany (until 1990 former territory of the FRG);Use only one type of social medium for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;5;;:;;:;;:;
Germany (until 1990 former territory of the FRG);Use two or more social media for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;9;;:;;:;;:;
Estonia;Website has online ordering, reservation or booking and at least one of: webacc, webctm, webot or webper and use social media for more than one purpose;4;;:;;:;;:;
Estonia;Develop the enterprise's image or market products;17;;25;;37;;45;
Estonia;Obtain or respond to customer opinions, reviews questions;10;;21;;20;;21;
Estonia;Involve customers in development or innovation of goods or services;4;;9;;10;;12;
Estonia;Collaborate with business partners (e.g. suppliers, etc.) or other organisations (e.g. public authorities, non governmental organisations, etc.);5;;10;;12;;17;
Estonia;Recruit employees;8;;14;;23;;32;
Estonia;Exchange views, opinions or knowledge within the enterprise;4;;7;;11;;13;
Estonia;Use social media for any purpose (of sm_advert, sm_pcuqor, sm_pcudev, sm_pbpcoll, sm_prcr, sm_pexchvok);21;;28;;40;;49;
Estonia;Use only one type of social medium for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;7;;:;;:;;:;
Estonia;Use two or more social media for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;3;;:;;:;;:;
Estonia;Use only one type of social medium for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;3;;:;;:;;:;
Estonia;Use two or more social media for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;5;;:;;:;;:;
Ireland;Website has online ordering, reservation or booking and at least one of: webacc, webctm, webot or webper and use social media for more than one purpose;8;;:;;:;;:;
Ireland;Develop the enterprise's image or market products;36;;51;;58;;63;
Ireland;Obtain or respond to customer opinions, reviews questions;26;;37;;42;;45;
Ireland;Involve customers in development or innovation of goods or services;11;;17;;18;;17;
Ireland;Collaborate with business partners (e.g. suppliers, etc.) or other organisations (e.g. public authorities, non governmental organisations, etc.);10;;12;;18;;20;
Ireland;Recruit employees;15;;23;;36;;46;
Ireland;Exchange views, opinions or knowledge within the enterprise;11;;16;;21;;22;
Ireland;Use social media for any purpose (of sm_advert, sm_pcuqor, sm_pcudev, sm_pbpcoll, sm_prcr, sm_pexchvok);41;;56;;68;;71;
Ireland;Use only one type of social medium for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;11;;:;;:;;:;
Ireland;Use two or more social media for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;7;;:;;:;;:;
Ireland;Use only one type of social medium for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;8;;:;;:;;:;
Ireland;Use two or more social media for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;16;;:;;:;;:;
Greece;Website has online ordering, reservation or booking and at least one of: webacc, webctm, webot or webper and use social media for more than one purpose;6;;:;;:;;:;
Greece;Develop the enterprise's image or market products;25;;26;;43;;41;
Greece;Obtain or respond to customer opinions, reviews questions;18;;21;;32;;36;
Greece;Involve customers in development or innovation of goods or services;9;;8;;11;;10;
Greece;Collaborate with business partners (e.g. suppliers, etc.) or other organisations (e.g. public authorities, non governmental organisations, etc.);8;;10;;11;;14;
Greece;Recruit employees;4;;8;;14;;22;
Greece;Exchange views, opinions or knowledge within the enterprise;8;;13;;17;;19;
Greece;Use social media for any purpose (of sm_advert, sm_pcuqor, sm_pcudev, sm_pbpcoll, sm_prcr, sm_pexchvok);28;;30;;50;;50;
Greece;Use only one type of social medium for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;7;;:;;:;;:;
Greece;Use two or more social media for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;5;;:;;:;;:;
Greece;Use only one type of social medium for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;6;;:;;:;;:;
Greece;Use two or more social media for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;10;;:;;:;;:;
Spain;Website has online ordering, reservation or booking and at least one of: webacc, webctm, webot or webper and use social media for more than one purpose;4;;:;;:;;:;
Spain;Develop the enterprise's image or market products;23;;29;;46;;47;
Spain;Obtain or respond to customer opinions, reviews questions;18;;23;;34;;34;
Spain;Involve customers in development or innovation of goods or services;10;;13;;18;;17;
Spain;Collaborate with business partners (e.g. suppliers, etc.) or other organisations (e.g. public authorities, non governmental organisations, etc.);8;;10;;15;;13;
Spain;Recruit employees;6;;10;;14;;15;
Spain;Exchange views, opinions or knowledge within the enterprise;9;;10;;16;;14;
Spain;Use social media for any purpose (of sm_advert, sm_pcuqor, sm_pcudev, sm_pbpcoll, sm_prcr, sm_pexchvok);27;;33;;50;;51;
Spain;Use only one type of social medium for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;5;;:;;:;;:;
Spain;Use two or more social media for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;5;;:;;:;;:;
Spain;Use only one type of social medium for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;5;;:;;:;;:;
Spain;Use two or more social media for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;11;;:;;:;;:;
France;Website has online ordering, reservation or booking and at least one of: webacc, webctm, webot or webper and use social media for more than one purpose;5;;:;;:;;:;
France;Develop the enterprise's image or market products;16;;24;;35;;42;
France;Obtain or respond to customer opinions, reviews questions;11;;16;;22;;27;
France;Involve customers in development or innovation of goods or services;8;;10;;14;;16;
France;Collaborate with business partners (e.g. suppliers, etc.) or other organisations (e.g. public authorities, non governmental organisations, etc.);5;;6;;10;;11;
France;Recruit employees;7;;12;;18;;29;
France;Exchange views, opinions or knowledge within the enterprise;6;;7;;10;;15;
France;Use social media for any purpose (of sm_advert, sm_pcuqor, sm_pcudev, sm_pbpcoll, sm_prcr, sm_pexchvok);19;;27;;38;;47;
France;Use only one type of social medium for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;5;;:;;:;;:;
France;Use two or more social media for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;1;;:;;:;;:;
France;Use only one type of social medium for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;7;;:;;:;;:;
France;Use two or more social media for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;6;;:;;:;;:;
Croatia;Website has online ordering, reservation or booking and at least one of: webacc, webctm, webot or webper and use social media for more than one purpose;6;;:;;:;;:;
Croatia;Develop the enterprise's image or market products;24;;29;;34;;41;
Croatia;Obtain or respond to customer opinions, reviews questions;19;;22;;25;;28;
Croatia;Involve customers in development or innovation of goods or services;9;;10;;12;;12;
Croatia;Collaborate with business partners (e.g. suppliers, etc.) or other organisations (e.g. public authorities, non governmental organisations, etc.);13;;14;;15;;16;
Croatia;Recruit employees;7;;11;;16;;22;
Croatia;Exchange views, opinions or knowledge within the enterprise;16;;13;;14;;18;
Croatia;Use social media for any purpose (of sm_advert, sm_pcuqor, sm_pcudev, sm_pbpcoll, sm_prcr, sm_pexchvok);33;;33;;38;;46;
Croatia;Use only one type of social medium for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;9;;:;;:;;:;
Croatia;Use two or more social media for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;5;;:;;:;;:;
Croatia;Use only one type of social medium for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;9;;:;;:;;:;
Croatia;Use two or more social media for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;10;;:;;:;;:;
Italy;Website has online ordering, reservation or booking and at least one of: webacc, webctm, webot or webper and use social media for more than one purpose;4;;:;;:;;:;
Italy;Develop the enterprise's image or market products;19;;30;;37;;40;
Italy;Obtain or respond to customer opinions, reviews questions;13;;19;;23;;24;
Italy;Involve customers in development or innovation of goods or services;9;;11;;13;;11;
Italy;Collaborate with business partners (e.g. suppliers, etc.) or other organisations (e.g. public authorities, non governmental organisations, etc.);5;;7;;7;;8;
Italy;Recruit employees;3;;6;;10;;13;
Italy;Exchange views, opinions or knowledge within the enterprise;5;;7;;9;;8;
Italy;Use social media for any purpose (of sm_advert, sm_pcuqor, sm_pcudev, sm_pbpcoll, sm_prcr, sm_pexchvok);21;;33;;41;;44;
Italy;Use only one type of social medium for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;7;;:;;:;;:;
Italy;Use two or more social media for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;3;;:;;:;;:;
Italy;Use only one type of social medium for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;5;;:;;:;;:;
Italy;Use two or more social media for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;7;;:;;:;;:;
Cyprus;Website has online ordering, reservation or booking and at least one of: webacc, webctm, webot or webper and use social media for more than one purpose;5;;:;;:;;:;
Cyprus;Develop the enterprise's image or market products;34;;55;;63;;63;
Cyprus;Obtain or respond to customer opinions, reviews questions;22;;42;;51;;50;
Cyprus;Involve customers in development or innovation of goods or services;13;;22;;18;;17;
Cyprus;Collaborate with business partners (e.g. suppliers, etc.) or other organisations (e.g. public authorities, non governmental organisations, etc.);10;;14;;20;;25;
Cyprus;Recruit employees;4;;13;;29;;41;
Cyprus;Exchange views, opinions or knowledge within the enterprise;8;;11;;17;;25;
Cyprus;Use social media for any purpose (of sm_advert, sm_pcuqor, sm_pcudev, sm_pbpcoll, sm_prcr, sm_pexchvok);36;;57;;67;;73;
Cyprus;Use only one type of social medium for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;11;;:;;:;;:;
Cyprus;Use two or more social media for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;5;;:;;:;;:;
Cyprus;Use only one type of social medium for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;8;;:;;:;;:;
Cyprus;Use two or more social media for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;11;;:;;:;;:;
Latvia;Website has online ordering, reservation or booking and at least one of: webacc, webctm, webot or webper and use social media for more than one purpose;4;;:;;:;;:;
Latvia;Develop the enterprise's image or market products;12;;23;;28;;38;
Latvia;Obtain or respond to customer opinions, reviews questions;9;;16;;21;;26;
Latvia;Involve customers in development or innovation of goods or services;7;;13;;15;;16;
Latvia;Collaborate with business partners (e.g. suppliers, etc.) or other organisations (e.g. public authorities, non governmental organisations, etc.);7;;13;;12;;15;
Latvia;Recruit employees;7;;14;;17;;23;
Latvia;Exchange views, opinions or knowledge within the enterprise;5;;9;;11;;12;
Latvia;Use social media for any purpose (of sm_advert, sm_pcuqor, sm_pcudev, sm_pbpcoll, sm_prcr, sm_pexchvok);14;;28;;30;;41;
Latvia;Use only one type of social medium for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;2;;:;;:;;:;
Latvia;Use two or more social media for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;1;;:;;:;;:;
Latvia;Use only one type of social medium for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;4;;:;;:;;:;
Latvia;Use two or more social media for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;6;;:;;:;;:;
